,RHOB,RHOB,RHOB,RHOB,RHOB,RHOB,RHOB,RHOB,GR,GR,GR,GR,GR,GR,GR,GR,phie,phie,phie,phie,phie,phie,phie,phie,SW,SW,SW,SW,SW,SW,SW,SW,ILD,ILD,ILD,ILD,ILD,ILD,ILD,ILD
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
GMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,248688.0,2438.0601746107573,82.43371105116309,2081.781,2375.8314499999997,2429.6738,2508.564325,2666.426,248688.0,43.64210343884709,13.606122692331846,10.3,34.25,43.76,53.77,86.89,248688.0,0.1834088789969762,0.049618007971346065,0.0119,0.1518,0.1888,0.2151,0.3558,248688.0,0.6389259043259026,0.17822793601338252,0.064609,0.51759,0.659925,0.77336,1.0,248688.0,22.717329369330248,536.344153457005,0.5289,1.4573,2.1727,4.46255,52313.4141
1,60372.0,2375.9112753991917,69.13880660914326,2072.6975,2331.38715,2367.1461,2406.5303750000003,2663.9937,60372.0,88.44797439210231,22.88612153497958,10.68,72.7,86.37,106.9,150.48,60372.0,0.19675872424302657,0.06909354148684282,0.0119,0.1528,0.1943,0.2341,0.3612,60372.0,0.6409848062346784,0.1873731961539785,0.064609,0.5239874999999999,0.659735,0.7720625000000001,1.0,60372.0,13.768390460809647,407.2202007153982,0.5507,1.2989,1.5347,2.3053,49264.1875
2,159159.0,2340.8272435602134,49.11201533537511,2072.6975,2308.6693,2342.6101,2375.8257,2457.1208,159159.0,24.006060166248844,5.34781612089412,10.23,19.85,23.84,27.38,38.58,159159.0,0.22028973416520584,0.027498806040625906,0.1488,0.2028,0.2191,0.2353,0.338,159159.0,0.46807674051106124,0.19295850098343748,0.064609,0.31089,0.48043,0.61541,1.0,159159.0,319.4081556035161,2921.155222597076,0.5289,2.2607,5.7262,20.3979,52313.4141
