,0
0,716531.2617381234
1,404711.0540789475
2,353222.57278614654
3,247680.03454641672
4,150634.28996906348
5,90997.83560350293
6,92269.64482175151
7,72063.22688394925
8,65717.18387340812
9,49350.77056435752
10,43637.6596518259
11,36931.28630605352
